building_id,mode,period_s,PhiRoof_X,PhiRoof_Y,Ln_X,Ln_Y,PF_X,PF_Y,Alpha_X,Alpha_Y
RES1-14,1y,0.280748,0.000000,1.000000,0.000000,116080.128003,0.000000,1.216581,0.000000,0.705205
RES1-14,2y,0.101979,0.000000,0.687545,0.000000,-35044.277264,0.000000,-0.345857,0.000000,0.060524
RES1-15,1x,0.293327,1.000000,0.000000,183108.927850,0.000000,1.018341,0.000000,0.542545,0.000000
RES1-15,2x,0.060103,-0.072700,0.000000,160000.880054,0.000000,0.920666,0.000000,0.428605,0.000000
RES1-15,1y,0.180665,0.000000,1.000000,0.000000,198567.549670,0.000000,1.130985,0.000000,0.653429
RES1-15,2y,0.057182,0.000000,-0.159578,0.000000,145123.911591,0.000000,0.820787,0.000000,0.346579
RES1-16,1x,0.435151,1.000000,0.000000,328599.186425,0.000000,1.062815,0.000000,0.673507,0.000000
RES1-16,2x,0.111265,-0.861705,0.000000,45307.602850,0.000000,0.147976,0.000000,0.012929,0.000000
RES1-16,1y,0.286705,0.000000,1.000000,0.000000,303393.874796,0.000000,1.217877,0.000000,0.712571
RES1-16,2y,0.104659,0.000000,-0.694955,0.000000,92378.144331,0.000000,0.348214,0.000000,0.062034
RES3-01,1x,0.317200,1.000000,0.000000,229507.829388,0.000000,1.233080,0.000000,0.721733,0.000000
RES3-01,2x,0.105563,-0.858121,0.000000,72223.107972,0.000000,0.388223,0.000000,0.071506,0.000000
RES3-01,1y,0.324780,0.000000,1.000000,0.000000,226114.852184,0.000000,1.254824,0.000000,0.723601
RES3-01,2y,0.108409,0.000000,0.854683,0.000000,-76012.503234,0.000000,-0.405673,0.000000,0.078641
RES3-02,1x,0.585993,1.000000,0.000000,471917.075155,0.000000,1.283052,0.000000,0.758162,0.000000
RES3-02,2x,0.190950,1.000000,0.000000,-167568.932616,-0.123431,-0.431740,0.000000,0.090587,0.000000
RES3-02,1y,0.623154,0.000000,1.000000,0.000000,460920.050967,0.000000,1.298358,0.000000,0.749328
RES3-02,2y,0.201573,0.000000,1.000000,0.000000,-172353.557143,0.000000,-0.449214,0.000000,0.096945
RES3-03,1x,0.324166,-1.000000,0.000000,-335156.843372,0.000000,-1.235990,0.000000,0.722307,0.000000
RES3-03,2x,0.108343,0.852149,0.000000,-106395.472009,0.000000,-0.392301,0.000000,0.072778,0.000000
RES3-03,1y,0.324557,0.000000,1.000000,0.000000,332196.225962,0.000000,1.251803,0.000000,0.725086
RES3-03,2y,0.109020,0.000000,-0.849378,0.000000,109610.401430,0.000000,0.403059,0.000000,0.077034
RES3-04,1x,0.602118,1.000000,0.000000,688507.288283,0.000000,1.283581,0.000000,0.757788,0.000000
RES3-04,2x,0.196423,1.000000,0.000000,-245558.811424,-0.181916,-0.431689,0.000000,0.090895,0.000000
RES3-04,1y,0.613778,0.000000,1.000000,0.000000,681928.046310,0.000000,1.289570,0.000000,0.754049
RES3-04,2y,0.199820,0.000000,1.000000,0.000000,-248275.033246,0.000000,-0.438732,0.000000,0.093400
RES3-05,1x,0.348795,-1.000000,0.000000,-239882.511292,0.000000,-1.194764,0.000000,0.730918,0.000000
RES3-05,2x,0.109570,-0.883138,0.000000,61805.605353,0.000000,0.332445,0.000000,0.052400,0.000000
RES3-05,1y,0.324782,0.000000,-1.000000,0.000000,-226114.215978,0.000000,-1.254825,0.000000,0.723600
RES3-05,2y,0.108409,0.000000,0.854680,0.000000,-76012.996458,0.000000,-0.405677,0.000000,0.078642
RES3-06,1x,0.600893,1.000000,0.000000,481349.797557,0.000000,1.274663,0.000000,0.768260,0.000000
RES3-06,2x,0.195119,1.000000,0.000000,-163610.476719,0.000000,-0.418141,0.000000,0.085662,0.000000
RES3-06,1y,0.623157,0.000000,1.000000,0.000000,460918.831602,0.000000,1.298359,0.000000,0.749327
RES3-06,2y,0.201573,0.000000,1.000000,0.000000,-172354.530165,0.000000,-0.449216,0.000000,0.096946
RES3-07,1x,0.367005,1.000000,0.000000,354648.433513,0.000000,1.190877,0.000000,0.736417,0.000000
RES3-07,2x,0.113630,0.885064,0.000000,-86733.148150,0.000000,-0.320160,0.000000,0.048419,0.000000
RES3-07,1y,0.324558,0.000000,1.000000,0.000000,332195.546977,0.000000,1.251804,0.000000,0.725085
RES3-07,2y,0.109020,0.000000,0.849376,0.000000,-109610.911736,0.000000,-0.403062,0.000000,0.077034
RES3-08,1x,0.622303,1.000000,0.000000,706525.715008,0.000000,1.274016,0.000000,0.771825,0.000000
RES3-08,2x,0.202034,1.000000,0.000000,-237751.888821,0.000000,-0.414112,0.000000,0.084422,0.000000
RES3-08,1y,0.613780,0.000000,-1.000000,0.000000,-681926.767644,0.000000,-1.289572,0.000000,0.754048
RES3-08,2y,0.199820,0.000000,-1.000000,0.000000,248276.027603,0.000000,0.438733,0.000000,0.093401
RES3-09,1x,0.266072,-1.000000,0.000000,-109223.032360,0.000000,-1.014103,0.000000,0.560833,0.000000
RES3-09,2x,0.057378,-0.078156,0.000000,87925.033074,0.000000,0.908697,0.000000,0.404547,0.000000
RES3-09,1y,0.190042,0.000000,-1.000000,0.000000,-115959.773578,0.000000,-1.117448,0.000000,0.656103
RES3-09,2y,0.056112,0.000000,-0.140997,0.000000,81538.502367,0.000000,0.832974,0.000000,0.343899
RES3-10,1x,0.293541,-1.000000,0.000000,-158389.323907,0.000000,-1.015051,0.000000,0.556925,0.000000
RES3-10,2x,0.060308,-0.072217,0.000000,129798.841334,0.000000,0.916322,0.000000,0.412005,0.000000
RES3-10,1y,0.190178,0.000000,-1.000000,0.000000,-170092.319952,0.000000,-1.122000,0.000000,0.661090
RES3-10,2y,0.057903,0.000000,0.147871,0.000000,-118588.486003,0.000000,-0.825020,0.000000,0.338915
RES3-11,1x,0.195467,-1.000000,0.000000,-114464.547292,0.000000,-1.027907,0.000000,0.595748,0.000000
RES3-11,2x,0.055647,0.128530,0.000000,-82805.529078,0.000000,-0.848048,0.000000,0.355563,0.000000
RES3-11,1y,0.190042,0.000000,-1.000000,0.000000,-115959.846697,0.000000,-1.117449,0.000000,0.656104
RES3-11,2y,0.056112,0.000000,-0.140997,0.000000,81538.430020,0.000000,0.832973,0.000000,0.343899
RES3-12,1x,0.196322,-1.000000,0.000000,-168397.088309,0.000000,-1.028309,0.000000,0.599849,0.000000
RES3-12,2x,0.057922,-0.138813,0.000000,119930.673834,0.000000,0.835764,0.000000,0.347214,0.000000
RES3-12,1y,0.190177,0.000000,-1.000000,0.000000,-170092.413796,0.000000,-1.122000,0.000000,0.661091
RES3-12,2y,0.057903,0.000000,0.147872,0.000000,-118588.391392,0.000000,-0.825020,0.000000,0.338914
