building_id,direction,Xr1_m,Xr2_m,Xr3_m,Xr4_m,Xr5_m,Vb1_kN,Vb2_kN,Vb3_kN,Vb4_kN,Vb5_kN
OFF-10,X,0.003969,0.009326,0.014196,0.017787,0.046702,257.9832,420.4482,492.7171,505.6022,323.5294
OFF-10,Y,0.003299,0.008230,0.014378,0.019370,0.040188,233.3333,399.1597,489.3557,503.9216,345.9384
OFF-11,X,0.003685,0.008744,0.013501,0.016933,0.045596,884.3137,1260.7843,1309.1503,1303.9216,526.1438
OFF-11,Y,0.003685,0.008864,0.012718,0.018439,0.045476,875.1634,1251.6340,1294.7712,1289.5425,536.6013
OFF-12,X,0.003754,0.009006,0.014619,0.017939,0.045945,370.8683,606.9094,720.4482,730.9057,461.2512
OFF-12,Y,0.003453,0.008221,0.015524,0.019387,0.034537,281.3725,485.2941,638.8889,653.9216,500.3268
RES1-01,X,0.003155,0.008233,0.012404,0.049460,0.087603,274.2764,426.4706,465.2194,220.5882,226.1905
RES1-01,Y,0.003458,0.008415,0.013432,0.049036,0.087422,301.8207,453.5481,483.4267,221.5219,228.0579
RES1-02,X,0.004905,0.010851,0.018221,0.049558,0.083745,273.8095,415.7330,487.6284,270.0747,271.9421
RES1-02,Y,0.005277,0.011346,0.019459,0.049992,0.086470,292.9505,433.4734,498.3660,266.8067,273.3427
RES1-03,X,0.002910,0.008532,0.012589,0.049278,0.075940,613.4454,1035.8543,1096.3585,471.1485,475.6303
RES1-03,Y,0.003373,0.008706,0.013690,0.047365,0.079186,765.8263,1136.6947,1177.0308,471.1485,482.3529
RES1-04,X,0.004717,0.011090,0.018714,0.049686,0.086137,652.6611,996.6387,1127.7311,569.7479,556.3025
RES1-04,Y,0.005075,0.010733,0.020143,0.048911,0.086911,714.2857,1067.2269,1184.8739,570.8683,554.0616
RES1-05,X,0.004194,0.011026,0.023336,0.049194,0.084004,151.9608,283.6134,277.1709,202.1008,205.1821
RES1-05,Y,0.003546,0.008611,0.012911,0.048133,0.085358,300.8870,454.4818,484.8273,217.7871,224.3231
RES1-06,X,0.005017,0.011952,0.018646,0.049763,0.080639,158.6601,278.2680,343.6275,260.9477,265.8497
RES1-06,Y,0.005138,0.011289,0.020154,0.051813,0.089443,281.7460,434.8739,498.3660,268.6741,274.2764
RES1-07,X,0.003784,0.009993,0.014171,0.050265,0.084503,256.3025,489.9160,554.3417,429.4118,436.6947
RES1-07,Y,0.003493,0.008484,0.012778,0.048815,0.084619,762.4650,1119.8880,1178.1513,468.9076,482.3529
RES1-08,X,0.004755,0.011811,0.018926,0.048691,0.081835,304.9020,539.5425,684.6405,555.2288,533.0065
RES1-08,Y,0.005052,0.010981,0.019282,0.048809,0.084681,719.8880,1062.7451,1183.7535,580.9524,556.3025
RES1-09,X,0.003398,0.008356,0.012951,0.048927,0.085508,301.3539,448.8796,492.2969,222.4556,229.4585
RES1-09,Y,0.003459,0.008538,0.012830,0.048927,0.086596,321.8487,479.2717,511.7647,224.3697,232.2129
